ANP;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PROCEDENCIA;EDAD;FECHA;VISITAS_E1;VISITAS_E2A3;VISITAS_E3A30;FECHA_CORTE
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/03/2022;5;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/04/2022;44;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/05/2022;29;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/06/2022;43;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/07/2022;67;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/08/2022;48;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/09/2022;58;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/10/2022;35;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/11/2022;4;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/12/2022;22;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/01/2023;34;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;28/02/2023;25;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/03/2023;10;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/07/2023;25;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/08/2023;45;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/09/2023;103;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/10/2023;17;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/11/2023;18;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/01/2022;155;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;28/02/2022;111;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/03/2022;50;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/04/2022;216;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/05/2022;176;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/06/2022;92;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/07/2022;342;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/08/2022;258;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/09/2022;573;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/10/2022;333;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/11/2022;258;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/12/2022;210;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/01/2023;181;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;28/02/2023;81;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/03/2023;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/07/2023;56;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/08/2023;267;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/09/2023;1080;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;31/10/2023;401;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;MENOR;30/11/2023;355;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/01/2022;474;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;28/02/2022;293;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/03/2022;154;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/04/2022;276;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/05/2022;156;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;30/06/2022;112;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/07/2022;416;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;NACIONAL;ADULTO;31/08/2022;314;0;0;27/05/2024
