"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","12/6/2013","76.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","18/6/2013","49.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","10/7/2013","73.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","18/7/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","24/7/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","15/8/2013","104.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","28/8/2013","97.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","9/10/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","16/10/2013","94.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","29/10/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","7/11/2013","92.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","14/11/2013","101.00","2013"
"LAMBAYEQUE","CHICLAYO","LA VICTORIA","E-06","C.S. La Victoria","Activo (Impactadores Harvard)","20/11/2013","90.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","31/1/2013","52.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","6/2/2013","64.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","13/2/2013","76.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","19/2/2013","85.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","25/2/2013","73.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","7/3/2013","95.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","13/3/2013","82.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","20/3/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","25/3/2013","97.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","4/4/2013","94.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","10/4/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","17/4/2013","95.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","22/4/2013","92.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","2/5/2013","75.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","8/5/2013","80.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","15/5/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","21/5/2013","73.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","12/6/2013","59.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","18/6/2013","42.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","10/7/2013","69.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","18/7/2013","64.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","24/7/2013","71.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","15/8/2013","73.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","28/8/2013","68.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","9/10/2013","64.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","16/10/2013","57.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","29/10/2013","69.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","7/11/2013","73.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","14/11/2013","69.00","2013"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-07","C.S. José Quiñones","Activo (Impactadores Harvard)","20/11/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","8/1/2015","78.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","22/1/2015","78.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","12/2/2015","69.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","18/2/2015","75.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","12/3/2015","58.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","19/3/2015","69.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","25/3/2015","61.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","8/4/2015","75.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","16/4/2015","69.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","22/4/2015","75.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","28/4/2015","80.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","14/5/2015","86.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","21/5/2015","90.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","28/5/2015","85.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","11/6/2015","97.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","18/6/2015","108.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","25/6/2015","100.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","2/7/2015","90.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","9/7/2015","97.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","16/7/2015","93.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","30/7/2015","110.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","6/8/2015","86.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","13/8/2015","81.00","2015"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","20/8/2015","90.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","8/1/2015","35.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","22/1/2015","40.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","12/2/2015","45.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","18/2/2015","50.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","12/3/2015","61.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","19/3/2015","73.00","2015"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Impactadores Harvard)","25/3/2015","71.00","2015"
