FECHA_CORTE;ANIO;SECTOR;CATEGORIA;SUBCATEGORIA;FUENTE_DE_EMISION;IPCC_CLASF;DIOXIDO_DE_CARBONO_GGCO2;METANO_GGCH4;METANO_EQUIVALENTE_GGCO2EQ;OXIDO_NITROSO_GGN2O;OXIDO_NITROSO_EQUIVALENTE_GGCO2EQ;HFC_GGCO2EQ;EMISIONES_GEI_GGCO2EQ
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS MINERALES;PRODUCCION DE CAL;sin valor;2A2;702.85;sin valor;sin valor;sin valor;sin valor;sin valor;702.85
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS MINERALES;PRODUCCION DE VIDRIO;sin valor;2A3;35.24;sin valor;sin valor;sin valor;sin valor;sin valor;35.24
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS MINERALES;OTROS USOS DE CARBONATOS ;CERAMICAS (LADRILLOS);2A4a;122.61;sin valor;sin valor;sin valor;sin valor;sin valor;122.61
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS MINERALES;OTROS USOS DE CARBONATOS ;OTROS USOS DE LA CENIZA DE SOSA (CARBONATO DE SODIO);2A4b;19.51;sin valor;sin valor;sin valor;sin valor;sin valor;19.51
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA QUIMICA;PRODUCCION DE ACIDO NITRICO;sin valor;2B2;sin valor;sin valor;sin valor;0.11;30.34;sin valor;30.34
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA QUIMICA;PRODUCCION DE CENIZA DE SOSA (CARBONATO DE SODIO);sin valor;2B7;0.06;sin valor;sin valor;sin valor;sin valor;sin valor;0.06
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS METALES;PRODUCCION DE HIERRO Y ACERO;sin valor;2C1;390.54;0;0;sin valor;sin valor;sin valor;390.54
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS METALES;PRODUCCION DE PLOMO;sin valor;2C5;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;INDUSTRIA DE LOS METALES;PRODUCCION DE ZINC;sin valor;2C6;537.22;sin valor;sin valor;sin valor;sin valor;sin valor;537.22
20240521;2016;PROCESOS INDUSTRIALES Y USO DE PRODUCTOS ;USO DE PRODUCTOS SUSTITUTOS DE LAS SUSTANCIAS QUE AGOTAN LA CAPA DE OZONO;REFRIGERACION Y AIRE ACONDICIONADO;sin valor;2F1;sin valor;sin valor;sin valor;sin valor;sin valor;502.35;502.35
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;GANADO;GANADO;FERMENTACION ENTERICA;3A1;sin valor;545.88;15284.69;sin valor;sin valor;sin valor;15284.69
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;GANADO;GANADO;MANEJO DE ESTIERCOL;3A2;sin valor;11.72;328.05;1.2;319.1;sin valor;647.14
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;TIERRAS FORESTALES ;TIERRAS FORESTALES QUE PERMANECEN COMO TIERRAS FORESTALES;3B1a;11072.79;sin valor;sin valor;sin valor;sin valor;sin valor;11072.79
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;TIERRAS FORESTALES ;TIERRAS CONVERTIDAS EN TIERRAS FORESTALES;3B1b;-2455.67;sin valor;sin valor;sin valor;sin valor;sin valor;-2455.67
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;TIERRAS DE CULTIVO ;TIERRAS DE CULTIVO QUE PERMANECEN COMO TIERRAS DE CULTIVO;3B2a;-172.52;sin valor;sin valor;sin valor;sin valor;sin valor;-172.52
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;TIERRAS DE CULTIVO ;TIERRAS CONVERTIDAS EN TIERRAS DE CULTIVO;3B2b;64643.22;sin valor;sin valor;sin valor;sin valor;sin valor;64643.22
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;PASTIZALES ;PASTIZALES QUE PERMANECEN COMO PASTIZALES;3B3a;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor;sin valor
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;PASTIZALES ;TIERRAS CONVERTIDAS EN PASTIZALES ;3B3b;22655.35;sin valor;sin valor;sin valor;sin valor;sin valor;22655.35
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;ASENTAMIENTOS;TIERRAS CONVERTIDAS EN ASENTAMIENTOS;3B5b;4492.54;sin valor;sin valor;sin valor;sin valor;sin valor;4492.54
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;TIERRAS;OTRAS TIERRAS;TIERRAS CONVERTIDAS EN OTRAS TIERRAS;3B6b;107.05;sin valor;sin valor;sin valor;sin valor;sin valor;107.05
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;EMISIONES POR QUEMA DE BIOMASA ;EMISIONES POR QUEMA DE BIOMASA ;3C1;sin valor;16.56;463.73;1.33;353.73;sin valor;817.46
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;APLICACION DE UREA;APLICACION DE UREA;3C3;262.54;sin valor;sin valor;sin valor;sin valor;sin valor;262.54
20240521;2016;AGRICULTURA, SILVICULTURA Y OTROS USOS DE LA TIERRA;FUENTES AGREGADAS Y FUENTES DE EMISION NO-CO2 EN LA TIERRA;EMISIONES DIRECTAS DE N2O DE SUELOS GESTIONADOS;EMISIONES DIRECTAS DE N2O DE SUELOS GESTIONADOS;3C4;sin valor;sin valor;sin valor;24.69;6543.44;sin valor;6543.44
